id,name,description,brand,segment,category,category_path,color,material,premium,price,original_price,discount_pct,in_stock,avg_rating,rating_count,sizes,images,embed_text
ay-000001,Crossbody Bag 'MILANO',"A compact crossbody bag in warm cognac faux leather, closed with a magnetic flap. The slim strap adjusts easily, and the bag swallows phone, cardholder and keys for city errands.",Guess,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,cognac,Faux leather,false,79.95,,,true,4.4,218,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000001-1.jpg,"Crossbody Bag 'MILANO' Guess Crossbody bags A compact crossbody bag in warm cognac faux leather, closed with a magnetic flap. The slim strap adjusts easily, and the bag swallows phone, cardholder and keys for city errands."
ay-000002,Crossbody Bag 'NOORA',"Soft grained cowhide gives this small bag a lived-in look from day one. Two inner compartments keep cards and lipstick apart, and the strap can be shortened for a shoulder fit.",Liebeskind Berlin,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,black,Leather,false,119.92,149.90,20,true,4.6,341,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000002-1.jpg,"Crossbody Bag 'NOORA' Liebeskind Berlin Crossbody bags Soft grained cowhide gives this small bag a lived-in look from day one. Two inner compartments keep cards and lipstick apart, and the strap can be shortened for a shoulder fit."
ay-000003,Crossbody Bag 'ASPEN',A minimal beige bag with a wide woven strap and brushed silver hardware. It sits neatly at the hip and works just as well over a winter coat as over a summer dress.,Kapten & Son,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,beige,Faux leather,false,69.90,,,true,4.2,97,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000003-1.jpg,Crossbody Bag 'ASPEN' Kapten & Son Crossbody bags A minimal beige bag with a wide woven strap and brushed silver hardware. It sits neatly at the hip and works just as well over a winter coat as over a summer dress.
ay-000004,Crossbody Bag 'HARBOUR',"A flat navy crossbody bag in recycled nylon with a zipped front pocket. Light enough to forget you are wearing it, roomy enough for a wallet, sunglasses and a paperback.",Tommy Hilfiger,men,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,navy,Recycled polyester,false,59.90,,,true,4.1,152,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000004-1.jpg,"Crossbody Bag 'HARBOUR' Tommy Hilfiger Crossbody bags A flat navy crossbody bag in recycled nylon with a zipped front pocket. Light enough to forget you are wearing it, roomy enough for a wallet, sunglasses and a paperback."
ay-000005,Crossbody Bag 'ARBERIA',"Quilted lambskin in deep bordeaux, finished with a chain-and-leather strap. A dressy little bag for dinners and weddings, with a suede-lined interior that protects a phone screen.",Coccinelle,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,bordeaux,Leather,true,249.00,,,true,4.7,64,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000005-1.jpg,"Crossbody Bag 'ARBERIA' Coccinelle Crossbody bags Quilted lambskin in deep bordeaux, finished with a chain-and-leather strap. A dressy little bag for dinners and weddings, with a suede-lined interior that protects a phone screen."
ay-000006,Crossbody Bag 'SCULPTED',"A structured white bag with a debossed logo plaque and a boxy silhouette. The wide strap is detachable, so the bag doubles as a small clutch in the evening.",Calvin Klein,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,white,Faux leather,false,89.90,,,true,4.0,183,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000006-1.jpg,"Crossbody Bag 'SCULPTED' Calvin Klein Crossbody bags A structured white bag with a debossed logo plaque and a boxy silhouette. The wide strap is detachable, so the bag doubles as a small clutch in the evening."
ay-000007,Crossbody Bag 'BEL 2.0',"Smooth black faux leather, a slim frame and a stamped logo on the flap. Small but well organised inside, this bag carries the essentials without pulling a silk blouse out of shape.",HUGO,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,black,Faux leather,false,90.93,129.90,30,true,4.3,126,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000007-1.jpg,"Crossbody Bag 'BEL 2.0' HUGO Crossbody bags Smooth black faux leather, a slim frame and a stamped logo on the flap. Small but well organised inside, this bag carries the essentials without pulling a silk blouse out of shape."
ay-000008,Crossbody Bag 'RAVE',"Washed olive canvas with chunky webbing and a carabiner clip. A utility bag built for festivals and long walks, with two outer pockets for tickets and a phone.",Diesel,men,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,olive,Cotton canvas,false,74.90,,,true,3.9,71,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000008-1.jpg,"Crossbody Bag 'RAVE' Diesel Crossbody bags Washed olive canvas with chunky webbing and a carabiner clip. A utility bag built for festivals and long walks, with two outer pockets for tickets and a phone."
ay-000009,Crossbody Bag 'LUNA',"An affordable everyday bag in dusty pink with a braided strap and a gold-tone zip. Light, easy to wipe clean and roomy enough for a small water bottle.",ABOUT YOU,women,Crossbody bags,Accessories|Bags & backpacks|Bags|Crossbody bags,rose,Faux leather,false,27.92,34.90,20,true,4.1,405,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000009-1.jpg,"Crossbody Bag 'LUNA' ABOUT YOU Crossbody bags An affordable everyday bag in dusty pink with a braided strap and a gold-tone zip. Light, easy to wipe clean and roomy enough for a small water bottle."
ay-000010,Laptop Bag 'ETHON 2.0',"A slim black carrier with a padded 15-inch compartment and a zipped document pocket. The coated canvas shrugs off rain on the commute, and a trolley sleeve slides over a suitcase handle.",HUGO,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Coated canvas,false,149.90,,,true,4.5,88,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000010-1.jpg,"Laptop Bag 'ETHON 2.0' HUGO Business & laptop bags A slim black carrier with a padded 15-inch compartment and a zipped document pocket. The coated canvas shrugs off rain on the commute, and a trolley sleeve slides over a suitcase handle."
